"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 29 00:20:43 CDT 2021","Thu Apr 29 00:20:44 CDT 2021","742","","Login Test Suite","","Login Test Suite","login with empty email","login with empty email",""
"broken","Tue Apr 27 01:22:33 CDT 2021","Tue Apr 27 01:22:33 CDT 2021","3","","Invalid Login Suite","","Invalid Login Suite","""after each"" hook for Invalid Login Suite","""after each"" hook for Invalid Login Suite",""
"passed","Wed Apr 28 01:05:04 CDT 2021","Wed Apr 28 01:05:13 CDT 2021","8917","","Task Creation","","Task Creation","create 1 task","create 1 task",""
"broken","Tue Apr 27 01:32:23 CDT 2021","Tue Apr 27 01:32:25 CDT 2021","1918","","Invalid Login Suite","","Invalid Login Suite","login with wrong credentials","login with wrong credentials",""
"passed","Wed Apr 21 14:42:05 CDT 2021","Wed Apr 21 14:42:27 CDT 2021","21848","","todoist app","","todoist app","create 1 task","create 1 task",""
"passed","Mon Apr 26 18:54:04 CDT 2021","Mon Apr 26 18:54:12 CDT 2021","7842","","todoist app","","todoist app","create 1 task","create 1 task",""
"passed","Wed Apr 21 14:41:34 CDT 2021","Wed Apr 21 14:42:03 CDT 2021","28752","","todoist app","","todoist app","create 10 task","create 10 task",""
"skipped","Tue Apr 27 01:15:44 CDT 2021","Tue Apr 27 01:15:44 CDT 2021","0","","todoist app","","todoist app","login with wrong credentials","login with wrong credentials",""
"passed","Tue Apr 27 01:48:30 CDT 2021","Tue Apr 27 01:48:38 CDT 2021","7642","","Login Test Suite","","Login Test Suite","Successful login","Successful login",""
"passed","Tue Apr 13 16:23:31 CDT 2021","Tue Apr 13 16:23:37 CDT 2021","6298","","todoist app","","todoist app","Successful login","Successful login",""
"passed","Mon Apr 26 18:53:51 CDT 2021","Mon Apr 26 18:54:00 CDT 2021","8280","","todoist app","","todoist app","create 10 task","create 10 task",""
"skipped","Tue Apr 27 02:19:06 CDT 2021","Tue Apr 27 02:19:06 CDT 2021","0","","Task Creation","","Task Creation","create 1 task","create 1 task",""
"broken","Wed Apr 21 14:43:07 CDT 2021","Wed Apr 21 14:43:07 CDT 2021","2","","todoist app","","todoist app","""after each"" hook for todoist app","""after each"" hook for todoist app",""
"passed","Tue Apr 27 01:48:42 CDT 2021","Tue Apr 27 01:48:43 CDT 2021","1386","","Login Test Suite","","Login Test Suite","login with empty password","login with empty password",""
"broken","Wed Apr 28 01:02:32 CDT 2021","Wed Apr 28 01:02:48 CDT 2021","15140","","Task Creation","","Task Creation","""before each"" hook for Task Creation","""before each"" hook for Task Creation",""
"broken","Tue Apr 27 01:22:33 CDT 2021","Tue Apr 27 01:22:33 CDT 2021","33","","Invalid Login Suite","","Invalid Login Suite","""before each"" hook for Invalid Login Suite","""before each"" hook for Invalid Login Suite",""
"passed","Thu Apr 29 00:20:42 CDT 2021","Thu Apr 29 00:20:43 CDT 2021","1540","","Login Test Suite","","Login Test Suite","login with wrong credentials","login with wrong credentials",""
"broken","Tue Apr 27 01:32:25 CDT 2021","Tue Apr 27 01:32:26 CDT 2021","1583","","Invalid Login Suite","","Invalid Login Suite","login with empty email","login with empty email",""
"broken","Tue Apr 27 01:31:41 CDT 2021","Tue Apr 27 01:31:48 CDT 2021","6775","","todoist app","","todoist app","""after each"" hook for todoist app","""after each"" hook for todoist app",""
